COUNTYA,COUSUBA,SCHOOL_NAME,ZCTA,K,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,Total
3,53050,ITALIAN HOME FOR CHILDREN,02130,92,93,92,92,92,0,0,0,0,0,0,0,0,461
25,53050,James W Hennigan,02130,0,0,0,0,0,0,0,301,254,0,0,0,0,555
25,53050,Joseph P Manning,02130,95,105,113,119,118,0,0,0,0,0,0,0,0,550
25,53050,Margarita Muniz Academy,02130,21,30,26,23,23,18,19,10,31,0,0,0,0,201
3,80685,MERIDIAN ACADEMY,02130,76,87,81,68,94,74,0,0,0,0,0,0,0,480
25,53050,Mission Hill School,02130,86,74,86,84,88,90,0,0,0,0,0,0,0,508
3,53050,NEIGHBORHOOD SCHOOL,02130,0,0,0,0,0,54,74,50,69,51,49,73,69,489
25,53050,The English High,02130,7,8,7,4,8,4,1,0,0,0,0,0,0,39
25,,Brooke Charter School,02131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,53050,Charles Sumner,02131,0,0,0,0,0,0,0,0,0,352,336,282,263,1233
25,53050,Dennis C Haley,02131,0,0,0,0,0,0,0,0,0,138,139,145,137,559
25,53050,George H Conley,02131,86,87,86,74,81,82,0,0,0,0,0,0,0,496
25,53050,John D Philbrick,02131,109,103,130,123,0,0,0,0,0,0,0,0,0,465
25,53050,Mozart,02131,80,94,104,139,129,0,0,0,0,0,0,0,0,546
25,53050,Phineas Bates,02131,60,63,67,46,40,54,52,53,40,0,0,0,0,475
25,53050,Urban Science Academy,02131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,53050,Washington Irving Middle,02131,86,95,76,87,102,86,0,0,0,0,0,0,0,532
25,53050,West Roxbury Academy,02131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,53050,Beethoven,02132,0,0,0,0,0,0,0,0,0,228,236,183,194,841
3,53050,HOLY NAME ELEMENTARY,02132,0,0,0,0,0,0,0,0,0,282,290,291,290,1153
25,53050,Joyce Kilmer,02132,0,0,0,0,0,269,280,0,0,0,0,0,0,549
25,53050,Lyndon,02132,130,117,97,110,90,0,0,0,0,0,0,0,0,544
3,53050,ST THERESA OF AVILA SCHOOL,02132,63,58,0,0,0,0,0,0,0,0,0,0,0,121
25,53050,William H Ohrenberger,02132,93,110,109,117,115,0,0,0,0,0,0,0,0,544
25,53050,Gardner Pilot Academy,02134,0,0,0,0,0,0,0,259,279,0,0,0,0,538
3,53050,GERMAN INTERNATIONAL SCHOOL BOSTON,02134,67,70,0,0,0,0,0,0,0,0,0,0,0,137
25,53050,Horace Mann School for the Deaf,02134,32,55,44,45,56,54,61,0,0,0,0,0,0,347
25,53050,Jackson Mann,02134,11,16,5,14,17,18,10,0,0,0,0,0,0,91
3,53050,SAINT JOSEPH PREPARATORY HIGH SCHOOL,02134,0,0,0,0,0,0,408,382,375,0,0,0,0,1165
3,53050,BAIS YAAKOV OF BOSTON,02135,97,120,122,132,123,0,0,0,0,0,0,0,0,594
25,53050,Baldwin Early Learning Center,02135,15,17,16,18,14,20,0,0,0,0,0,0,0,100
25,53050,Boston Green Academy Horace Mann Charter School,02135,0,0,0,0,0,0,6,8,8,10,10,10,10,62
25,53050,Brighton High,02135,74,87,68,90,78,109,0,0,0,0,0,0,0,506
25,53050,Edison K-8,02135,0,0,0,0,0,0,196,183,157,0,0,0,0,536
3,53050,KENNEDY DAY SCHOOL,02135,1,4,3,8,5,8,12,9,9,9,13,8,10,99
25,53050,Lyon K-8,02135,21,20,20,18,15,19,0,0,0,0,0,0,0,113
25,53050,Lyon Upper 9-12,02135,164,166,0,0,0,0,0,0,0,0,0,0,0,330
3,53050,SHALOH HOUSE DAY,02135,104,94,84,106,101,0,0,0,0,0,0,0,0,489
25,53050,Winship Elementary,02135,0,0,0,0,0,0,0,0,0,154,151,120,111,536
25,,Academy Of the Pacific Rim Charter Public School,02136,0,0,0,0,0,0,0,0,0,82,99,85,101,367
25,53050,Another Course To College,02136,0,0,0,0,0,0,0,0,0,82,99,85,101,367
25,53050,Boston Community Leadership Academy,02136,11,7,15,10,6,3,12,5,13,6,6,7,11,112
25,,Boston Preparatory Charter Public School,02136,0,0,0,0,0,0,5,2,6,4,12,7,11,47
25,,Boston Renaissance Charter Public School,02136,0,0,0,90,106,126,130,75,72,0,0,0,0,599
3,53050,BOSTON TRINITY ACADEMY,02136,0,0,0,65,79,79,93,83,91,0,0,0,0,490
25,53050,Franklin D Roosevelt,02136,0,0,0,0,0,0,0,0,0,20,32,28,20,100
25,53050,Henry Grew,02136,0,0,0,0,0,0,0,270,287,0,0,0,0,557
25,53050,New Mission High School,02136,60,73,75,62,65,67,0,0,0,0,0,0,0,402
25,53050,William Ellery Channing,02136,0,0,0,0,0,0,0,125,114,78,66,77,77,537
5,5280,BUCKINGHAM BROWNE NICHOLS,02138,0,0,0,0,0,0,0,0,0,46,56,47,37,186
17,5280,Cambridge Rindge and Latin,02138,0,0,0,0,0,0,0,1,1,5,8,7,3,25
17,5280,Graham and Parks,02138,0,0,0,0,0,0,0,0,0,135,142,173,155,605
17,5280,Haggerty,02138,0,0,0,0,0,0,0,81,99,0,0,0,0,180
17,5280,John M Tobin,02138,17,23,25,21,24,23,22,0,0,0,0,0,0,155
17,5280,Maria L. Baldwin,02138,0,0,0,0,0,0,0,0,0,0,0,96,85,181
5,5280,SHADY HILL,02138,29,28,26,21,27,16,20,0,0,0,0,0,0,167
17,5280,Vassal Lane Upper School,02138,0,4,1,5,10,8,2,1,0,0,0,0,0,31
17,5280,Amigos School,02139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5280,Cambridgeport,02139,24,28,27,30,32,39,0,0,0,0,0,0,0,180
