COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,10500,3,1105003,9210,4560,237,309,1099,1099,0,0,0,0,0,0,0,0,0,9,35,49,18,0,988,1099,539,53437000,14.36164558,18.14313151,32.50477709,20,0,0,0,0,0,0,0,0,0,0
1,10600,1,1106001,3480,3480,268,268,489,448,41,0,0,0,0,0,0,0,0,0,0,0,0,0,429,429,224,47432800,13.33581376,7.608409987,20.94422374,7.5,0,0,0,0,0,0,0,0,0,0
1,10600,2,1106002,3480,3480,268,268,865,865,0,0,0,0,0,0,0,0,21,53,0,11,36,0,734,855,436,36995600,22.5683002,19.31365612,41.88195632,18.125,0,0,0,0,0,0,0,0,0,0
1,10600,3,1106003,3480,3480,268,268,1159,1007,132,15,5,0,0,0,0,0,77,34,48,0,162,12,736,1069,538,51382200,49.23992771,29.84837764,79.08830535,30,0,481,481,0,481,1,0,1,1,0
1,10600,4,1106004,3480,3480,268,268,759,610,138,0,11,0,0,0,0,0,31,21,11,0,144,20,405,632,282,27445900,7.180822792,4.096836147,11.27765894,3.75,188,0,188,0,188,1,1,0,1,0
1,10700,1,1107001,3480,3480,268,268,752,665,59,0,8,0,0,20,0,20,13,44,0,28,23,13,622,743,349,21725400,31.80078665,32.18942687,63.99021352,29.375,0,0,0,0,0,0,0,0,0,0
1,10700,2,1107002,3480,3480,268,268,987,946,0,0,14,0,0,27,0,27,10,0,0,9,28,0,920,967,495,76021400,23.59413203,11.70524613,35.29937816,12.5,0,0,0,0,0,0,0,0,0,0
1,10700,3,1107003,3480,3480,268,268,604,604,0,0,0,0,0,0,0,0,20,0,53,0,20,0,511,604,282,21975600,21.54246837,15.80208228,37.34455066,19.375,0,0,0,0,0,0,0,0,0,0
1,10700,4,1107004,3480,3480,268,268,606,594,0,0,0,0,0,12,0,12,24,68,11,27,8,0,468,606,303,20162500,26.67162751,19.31365612,45.98528363,16.875,0,0,0,0,0,0,0,0,0,0
1,10800,1,1108001,2970,4560,272,309,823,823,0,0,0,0,0,0,0,0,28,0,13,0,14,0,768,823,362,31596500,46.16243223,29.84837764,76.01080987,30.625,0,0,0,0,0,0,0,0,0,0
1,10800,2,1108002,2970,4560,272,309,651,608,18,25,0,0,0,0,0,0,26,0,0,11,13,0,601,651,359,38493100,9.232486446,2.926311533,12.15879798,14.375,0,0,0,0,0,0,0,0,0,0
1,10800,3,1108003,2970,4560,272,309,835,835,0,0,0,0,0,0,0,0,103,25,0,55,44,0,608,835,428,26333000,32.82661848,21.65470535,54.48132382,27.5,246,0,246,0,246,1,1,0,1,0
1,10800,4,1108004,2970,4560,272,309,622,622,0,0,0,0,0,0,0,0,0,78,78,10,37,0,419,622,283,17511400,25.64579568,18.14313151,43.78892719,38.75,0,0,0,0,0,0,0,0,0,0
1,10800,5,1108005,2970,4560,272,309,1981,1970,0,0,0,0,0,11,0,11,73,62,71,32,10,27,1559,1834,833,66709700,93.35069629,59.69675528,153.0474516,71.875,0,0,0,0,0,0,0,0,0,0
