COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
25,402,3,254023,2790,2790,1522,1251,46,0,194,0,21,10,0,10,193,73,132,17,11,43,1053,1522,527,54104500,26.67162751,11.70524613,38.37687365,15,193,0,193,0,193,1,1,0,1,0
25,502,1,255021,2790,2790,406,342,0,0,64,0,0,0,0,0,52,12,22,0,11,0,309,406,272,19958900,1.025831827,2.341049227,3.366881054,3.75,0,0,0,0,0,0,0,0,0,0
25,502,2,255022,2790,2790,1105,992,35,0,38,0,40,0,0,0,224,82,0,0,370,0,429,1105,588,36912300,4.103327309,1.75578692,5.859114229,13.75,0,0,0,0,0,0,0,0,0,0
25,502,3,255023,2790,2790,1231,977,0,0,176,0,70,8,0,8,211,123,43,56,30,0,768,1231,800,44316500,3.077495482,3.51157384,6.589069322,33.75,0,0,0,0,0,0,0,0,0,0
25,502,4,255024,2790,2790,1586,1223,149,0,115,41,14,44,0,44,0,0,0,0,0,0,0,0,0,6090400,0,0,0,475,0,0,0,0,0,0,0,0,0,0
25,503,1,255031,2790,2790,637,621,0,0,0,0,0,16,0,16,0,23,33,0,0,19,562,637,403,26549300,5.129159137,1.170524613,6.29968375,5.625,0,0,0,0,0,0,0,0,0,0
25,503,2,255032,2790,2790,1294,1065,26,19,80,0,56,48,0,48,100,54,56,53,15,28,988,1294,838,54811500,5.129159137,1.75578692,6.884946057,5.625,0,0,0,0,0,0,0,0,0,0
25,504,1,255041,2790,2790,2352,1852,41,21,345,0,58,35,10,25,281,224,66,150,122,14,1495,2352,1364,72852600,21.54246837,8.193672294,29.73614067,14.375,0,0,0,0,0,0,0,0,0,0
25,504,2,255042,2790,2790,1271,1063,18,0,127,0,14,49,0,49,0,216,204,14,31,103,703,1271,721,36528800,9.232486446,2.341049227,11.57353567,15,0,0,0,0,0,0,0,0,0,0
25,504,3,255043,2790,2790,978,706,25,0,196,0,0,51,0,51,180,56,129,78,30,8,497,978,511,30707600,8.206654619,1.75578692,9.962441539,13.125,0,0,0,0,0,0,0,0,0,0
25,504,4,255044,2790,2790,752,603,49,24,53,0,0,23,0,23,76,151,191,4,0,33,297,752,487,17176100,0,0,0,12.5,74,0,74,0,74,1,1,0,1,0
25,601,1,256011,2790,2790,733,505,7,0,213,0,8,0,0,0,21,0,72,0,10,0,400,503,153,11950700,14.36164558,8.7789346,23.14058018,8.75,0,0,0,0,0,0,0,0,0,0
25,601,2,256012,2790,2790,1380,1160,0,0,178,0,30,12,0,12,72,55,0,35,45,45,1128,1380,637,58754800,16.41330924,7.02314768,23.43645692,22.5,0,0,0,0,0,0,0,0,0,0
25,601,3,256013,2790,2790,620,473,0,0,118,0,0,29,19,10,83,48,13,41,33,25,377,620,239,21303400,8.206654619,4.096836147,12.30349077,14.375,0,0,0,0,0,0,0,0,0,0
25,601,4,256014,2790,2790,778,381,20,0,283,0,71,23,0,23,12,103,9,20,38,14,582,778,402,28397700,17.43914107,9.364196907,26.80333797,14.375,0,0,0,0,0,0,0,0,0,0
25,602,1,256021,2790,2790,1583,1081,121,0,273,30,62,16,0,16,389,112,106,116,9,88,763,1583,768,45606200,15.38747741,10.53472152,25.92219893,29.375,392,146,538,26,564,2,2,2,2,1
25,602,2,256022,2790,2790,951,648,56,11,176,0,44,16,8,8,98,204,50,24,96,16,386,874,528,16279200,11.2841501,3.51157384,14.79572394,18.125,0,356,356,634,990,2,0,2,2,2
25,602,3,256023,2790,2790,1497,702,283,34,344,0,0,134,34,100,71,574,17,23,66,0,746,1497,808,31498100,100.5315191,57.35570605,157.8872251,62.5,0,0,0,519,519,1,0,0,0,1
25,701,1,257011,2790,2790,1062,920,49,0,51,0,24,18,0,18,225,106,0,0,29,60,642,1062,521,25186200,1.025831827,2.341049227,3.366881054,8.75,0,0,0,0,0,0,0,0,0,0
25,701,2,257012,2790,2790,674,432,71,0,171,0,0,0,0,0,71,48,91,157,37,0,230,634,308,14615100,7.180822792,6.437885373,13.61870817,13.75,0,0,0,0,0,0,0,0,0,0
25,701,3,257013,2790,2790,586,324,0,0,220,0,42,0,0,0,13,58,35,0,20,0,460,586,316,21823900,5.129159137,3.51157384,8.640732977,3.75,0,0,0,0,0,0,0,0,0,0
25,701,4,257014,2790,2790,623,592,13,0,18,0,0,0,0,0,83,31,66,11,60,0,372,623,345,22500200,5.129159137,5.26736076,10.3965199,11.25,0,0,0,0,0,0,0,0,0,0
25,701,5,257015,2790,2790,1288,1015,32,0,123,0,46,72,0,72,185,67,49,63,42,13,869,1288,604,45508700,8.206654619,5.26736076,13.47401538,31.875,0,0,0,0,0,0,0,0,0,0
25,703,1,257031,2790,2790,1109,780,43,0,286,0,0,0,0,0,366,113,0,82,12,86,450,1109,554,23712700,5.129159137,0.585262307,5.714421443,70,0,0,0,0,0,0,0,0,0,0
25,703,2,257032,2790,2790,1756,1191,58,0,502,0,0,5,0,5,935,213,46,12,128,0,422,1756,679,23821200,4.103327309,1.75578692,5.859114229,49.375,0,0,0,0,0,0,0,0,0,0
25,704,1,257041,2790,2790,1346,1000,61,0,256,0,29,0,0,0,239,135,7,14,68,25,858,1346,643,43404700,8.206654619,4.682098453,12.88875307,40.625,0,0,0,0,0,0,0,0,0,0
25,704,2,257042,2790,2790,981,510,7,0,383,0,81,0,0,0,38,109,0,18,44,0,772,981,514,42280500,3.077495482,0,3.077495482,7.5,0,0,0,0,0,0,0,0,0,0
25,704,3,257043,2790,2790,1065,859,10,0,135,0,61,0,0,0,186,94,42,84,17,0,642,1065,640,28715100,5.129159137,2.926311533,8.05547067,18.125,0,0,0,0,0,0,0,0,0,0
25,704,4,257044,2790,2790,1287,764,241,0,109,0,132,41,24,17,199,228,121,69,85,47,538,1287,574,22112900,34.87828213,16.97260689,51.85088902,30,0,0,0,0,0,0,0,0,0,0
25,802,1,258021,2790,2790,1718,1313,14,0,293,0,98,0,0,0,548,303,0,51,0,80,736,1718,585,35068500,11.2841501,1.75578692,13.03993702,28.75,0,0,0,0,0,0,0,0,0,0
25,802,2,258022,2790,2790,1206,697,204,0,176,0,80,49,0,49,204,80,49,10,164,37,662,1206,547,53385000,88.22153715,39.79783685,128.019374,73.125,0,0,0,0,0,0,0,0,0,0
25,802,3,258023,2790,2790,675,602,2,0,0,0,42,29,29,0,106,60,0,162,6,0,341,675,247,12052700,22.5683002,10.53472152,33.10302172,26.25,0,0,0,0,0,0,0,0,0,0
